FHRS_ID,BUSINESS_NAME,BUSINESS_TYPE,LOCAL_AUTHORITY_NAME,LATITUDE,LONGITUDE,RATING_VALUE,INCOME_DECILE,PREDICTED_RATING,RISK_SCORE
1787,Co Op Supermarket,Retailers - supermarkets/hypermarkets,Croydon,51.34237,-0.01615,5,2,pass,0.223
1792,Greggs,Retailers - other,Croydon,51.34104,-0.0141,5,2,fail,0.527
1793,Iceland,Retailers - supermarkets/hypermarkets,Croydon,51.34151,-0.01446,5,2,pass,0.223
1795,Central Parade Post Office,Retailers - other,Croydon,51.34138,-0.01426,3,2,fail,0.527
1796,China Garden,Takeaway/sandwich shop,Croydon,51.34104,-0.0141,5,2,fail,0.524
1808,Heathfield Newsagent,Retailers - other,Croydon,51.35281,-0.06021,4,10,fail,0.364
1818,Westdene,Caring Premises,Croydon,51.36836,-0.0936,5,3,pass,0.191
1824,The Orchard,Pub/bar/nightclub,Croydon,51.37798,-0.09026,1,4,pass,0.306
1827,Mazala Indian Takeaway,Takeaway/sandwich shop,Croydon,51.37967,-0.08746,5,3,fail,0.503
1841,St Matthews Church,Other catering premises,Croydon,51.37009,-0.08624,1,6,pass,0.254
1844,DD's Cafe,Restaurant/Cafe/Canteen,Croydon,51.32035,-0.13978,4,4,fail,0.405
1845,Mr Chips,Takeaway/sandwich shop,Croydon,51.31889,-0.1497,4,8,fail,0.4
1847,Londis,Retailers - other,Croydon,51.31813,-0.15227,5,5,fail,0.464
1848,Smugglers Inn,Pub/bar/nightclub,Croydon,51.31903,-0.15059,5,9,pass,0.226
1850,Best One,Retailers - other,Croydon,51.31775,-0.15718,5,5,fail,0.464
1876,KFC,Restaurant/Cafe/Canteen,Croydon,51.3735,-0.10137,5,1,fail,0.466
1911,Chefs (Training Kitchens And Restaurant) & Urban Cafe,Restaurant/Cafe/Canteen,Croydon,51.37361,-0.09612,5,3,fail,0.425
1930,New Ruskin House,Restaurant/Cafe/Canteen,Croydon,51.36752,-0.09763,4,3,fail,0.425
1965,Coulsdon Manor Hotel,Hotel/bed & breakfast/guest house,Croydon,,,3,8,pass,0.18
1967,Londis,Retailers - other,Croydon,51.30015,-0.11669,5,2,fail,0.527
1968,Old Coulsdon Centre For The Retired,Caring Premises,Croydon,51.31158,-0.12276,5,9,pass,0.126
1969,Old Coulsdon Bowling Club,Restaurant/Cafe/Canteen,Croydon,51.31121,-0.12225,5,9,pass,0.31
1971,Tudor Bakery,Retailers - other,Croydon,51.30722,-0.12075,3,10,fail,0.364
1972,The Tudor Rose,Pub/bar/nightclub,Croydon,51.30627,-0.11973,5,10,pass,0.212
1998,Norbury Hall Residential Care Home,Caring Premises,Croydon,51.40761,-0.11842,5,5,pass,0.167
2035,The Croham Arms,Pub/bar/nightclub,Croydon,51.36233,-0.09499,5,3,pass,0.324
2036,Select Supermarket,Retailers - other,Croydon,51.36233,-0.09499,5,3,fail,0.506
2045,Abbey Wood Grange Day Nursery,Caring Premises,Croydon,51.32245,-0.09979,5,5,pass,0.167
2069,Selhurst Railway Club,Other catering premises,Croydon,51.39296,-0.08904,5,3,pass,0.304
2111,Michael Stores,Retailers - other,Croydon,51.36421,-0.11558,3,4,fail,0.485
2114,Pabulum Ltd At Howard Primary School,School/college/university,Croydon,51.36489,-0.10161,5,2,pass,0.139
2143,Downsview Methodist Church Lunch Club,Restaurant/Cafe/Canteen,Croydon,51.41597,-0.10025,5,5,fail,0.385
2152,Playhouse Montessori,Caring Premises,Croydon,51.40574,-0.11526,5,5,pass,0.167
2168,Dunheved Lodge Residential Care Home,Caring Premises,Croydon,51.3903,-0.11433,5,1,pass,0.218
2169,MyTime Croydon,Caring Premises,Croydon,51.38942,-0.11387,5,1,pass,0.218
2180,Oregon Care,Caring Premises,Croydon,51.32641,-0.13259,5,9,pass,0.126
2188,Eldon Housing,Caring Premises,Croydon,51.36749,-0.09604,5,3,pass,0.191
2232,Elmfield Way News,Retailers - other,Croydon,51.34724,-0.08358,5,10,fail,0.364
2233,Woodleigh Community Hospital,Caring Premises,Croydon,51.38451,-0.10677,5,2,pass,0.205
2249,Parkview Nursing Home,Caring Premises,Croydon,51.41579,-0.09135,5,4,pass,0.179
2261,Fairchildes Primary And Nursery School,School/college/university,Croydon,51.33411,-0.00255,3,3,pass,0.13
2333,The Learning Tree Pre-School,Caring Premises,Croydon,,,5,1,pass,0.218
2334,The Family Centre,Distributors/Transporters,Croydon,,,4,1,pass,0.312
2351,The Params,Caring Premises,Croydon,51.34002,-0.12088,5,4,pass,0.179
2352,Heatherwood Care Centre,Caring Premises,Croydon,51.34167,-0.12632,5,4,pass,0.179
2354,Westside Nursing Home,Caring Premises,Croydon,51.34345,-0.13361,5,10,pass,0.117
2362,Regent House Hotel,Hotel/bed & breakfast/guest house,Croydon,51.37129,-0.09483,5,3,pass,0.25
2417,WH Smith,Retailers - other,Croydon,51.37499,-0.0929,Exempt,3,fail,0.506
2419,The George,Pub/bar/nightclub,Croydon,51.37415,-0.09861,5,1,fail,0.362
2424,YRB Newsmarket,Retailers - other,Croydon,51.37393,-0.09751,5,1,fail,0.547
2429,Starbucks Trailer,Restaurant/Cafe/Canteen,Croydon,51.37617,-0.09303,5,3,fail,0.425
2430,Costa Coffee,Restaurant/Cafe/Canteen,Croydon,51.37499,-0.0929,5,3,fail,0.425
2467,The Two Brewers P.H.,Pub/bar/nightclub,Croydon,51.38807,-0.08987,5,2,fail,0.343
2468,Top Cafe,Restaurant/Cafe/Canteen,Croydon,51.32898,-0.10751,5,6,fail,0.366
2472,Co-op Food,Retailers - supermarkets/hypermarkets,Croydon,51.3258,-0.10119,5,6,pass,0.171
2561,Gibsons Lodge,Caring Premises,Croydon,51.42012,-0.10916,4,7,pass,0.145
4243,Immanuels Day Nursery & Preschool,Caring Premises,Croydon,51.35742,-0.09927,4,4,pass,0.179
4244,St Johns Nursing Home,Caring Premises,Croydon,51.3605,-0.10696,5,3,pass,0.191
